"","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Furnish"
"1","Laverne's Loft","Apartment","$1,300,000","$1,041 psf (Built-up)","2013","Penthouse","Asimont Holdings Pte Ltd","66 Lorong L Telok Kurau (425509)","D15 - East Coast / Marine Parade","2","2","05","1,249 sqft (Built-up)","FREEHOLD","44","Renovated | City View | Jacuzzi | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Steven Lau",NA
"2","Marina One Residences","Apartment","$2,793,950","$2,497 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",NA,"28","1,119 sqft (Built-up)","LEASEHOLD/99 years","1042","Renovated | Park/greenery View | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",NA
"3","Queens Peak","Condominium","$1,324,000","$1,708 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2","2","22","775 sqft (Built-up)","LEASEHOLD/99 years","736","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished"
"4","Gem Residences","Condominium","$1,642,000","$1,734 psf (Built-up)","2020","Condominium","GEM Homes Pte Ltd","1 Lorong 5 Toa Payoh (319458)","D12 - Balestier / Toa Payoh","3","1","09","947 sqft (Built-up)","LEASEHOLD/99 years","578","City View | Original Condition | Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished"
"5","Duo Residences","Apartment","$4,215,100","$2,759 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","3","3","40","1,528 sqft (Built-up)","LEASEHOLD/99 years","660","Sky Pool | Outdoor Living Room | Aqua Gym Equipment | Function Room | Jacuzzi | Children's Pool | 50M Lap Pool With Spa Seats | Patio Gym | Sun Deck | Reflective Pool | Teppanyaki Terraces | Gymnasium | Kid's Play Area | Original Condition | Park/greenery View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished"
"6","Queens Peak","Condominium","$1,229,000","$1,586 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","3 Dundee Road (149457)","D3 - Alexandra / Commonwealth","2","2","24","775 sqft (Built-up)","LEASEHOLD/99 years","736","Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Kane Seow K H",NA
"7","Queens Peak","Condominium","$1,423,000","$1,503 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","3","2","24","947 sqft (Built-up)","LEASEHOLD/99 years","736","Corner Unit | Renovated | City View | Air Conditioning | Cooker Hob/hood | Private Lift | Balcony","Kane Seow K H",NA
"8","Gem Residences","Condominium","$1,640,000","$1,732 psf (Built-up)",NA,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3","2","26","947 sqft (Built-up)","LEASEHOLD/99 years","578","Park/greenery View | Renovated | City View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony","Kane Seow K H",NA
"9","Marina One Residences","Apartment","$3,577,000","$2,356 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","3","21","1,518 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | Park/greenery View | Sea View | City View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Private Lift | Bathtub | Balcony | Walk-in-wardrobe | Maidsroom","Cynthia Lee","Partially Furnished"
"10","Queens Peak","Condominium","$1,324,000","$1,708 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2","2","22","775 sqft (Built-up)","LEASEHOLD/99 years","736","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished"
