Number of Records,mrt station,lat,lon,Route,Sequence,Line
1,Jurong East,1.333333333,103.7422222,1,1,NS
1,Bukit Batok,1.349166667,103.7497222,1,2,NS
1,Bukit Gombak,1.358611111,103.7516667,1,3,NS
1,Choa Chu Kang,1.385,103.7444444,1,4,NS
1,Yew Tee,1.396986111,103.7472389,1,5,NS
1,Kranji,1.425047222,103.7618528,1,6,NS
1,Marsiling,1.432636111,103.7742833,1,7,NS
1,Woodlands,1.437094444,103.7864833,1,8,NS
1,Admiralty,1.440688889,103.8009333,1,9,NS
1,Sembawang,1.449025,103.8201528,1,10,NS
1,Canberra,1.443283333,103.829575,1,11,NS
1,Yishun,1.429463889,103.8352389,1,12,NS
1,Khatib,1.417166667,103.8329,1,13,NS
1,Yio Chu Kang,1.381905556,103.8448167,1,14,NS
1,Ang Mo Kio,1.370016667,103.84945,1,15,NS
1,Bishan,1.351111111,103.8483333,1,16,NS
1,Braddell,1.340338889,103.846725,1,17,NS
1,Toa Payoh,1.332702778,103.8478083,1,18,NS
1,Novena,1.320394444,103.8436889,1,19,NS
1,Newton,1.313055556,103.8383333,1,20,NS
1,Orchard,1.304313889,103.8319389,1,21,NS
1,Somerset,1.300513889,103.8390278,1,22,NS
1,Dhoby Ghaut,1.299166667,103.8458333,1,23,NS
1,City Hall,1.293238889,103.8522194,1,24,NS
1,Raffles Place,1.283880556,103.8515333,1,25,NS
1,Marina Bay,1.276097222,103.854675,1,26,NS
1,Marina South Pier,1.270958333,103.8632417,1,27,NS
1,Pasir Ris,1.372411111,103.9493694,2,1,EW
1,Tampines,1.352527778,103.9453222,2,2,EW
1,Simei,1.343444444,103.9531722,2,3,EW
1,Tanah Merah,1.327358333,103.9463444,2,4,EW
1,Bedok,1.324038889,103.9300361,2,5,EW
1,Kembangan,1.320983333,103.9128417,2,6,EW
1,Eunos,1.319725,103.9031083,2,7,EW
1,Paya Lebar,1.317777778,103.8925,2,8,EW
1,Aljunied,1.316441667,103.8829806,2,9,EW
1,Kallang,1.311469444,103.8714,2,10,EW
1,Lavender,1.307166667,103.8630083,2,11,EW
1,Bugis,1.300277778,103.8561111,2,12,EW
1,City Hall,1.293238889,103.8522194,2,13,EW
1,Raffles Place,1.283880556,103.8515333,2,14,EW
1,Tanjong Pagar,1.276438889,103.8457111,2,15,EW
1,Outram Park,1.280277778,103.8394444,2,16,EW
1,Tiong Bahru,1.286080556,103.8269583,2,17,EW
1,Redhill,1.289733333,103.81675,2,18,EW
1,Queenstown,1.294441667,103.8061139,2,19,EW
1,Commonwealth,1.302558333,103.798225,2,20,EW
1,Buona Vista,1.307333333,103.7900278,2,21,EW
1,Dover,1.311313889,103.7786583,2,22,EW
1,Clementi,1.315302778,103.7652444,2,23,EW
1,Jurong East,1.333333333,103.7422222,2,24,EW
1,Chinese Garden,1.342711111,103.7324667,2,25,EW
1,Lakeside,1.344588889,103.7211389,2,26,EW
1,Boon Lay,1.338883333,103.7062083,2,27,EW
1,Pioneer,1.337577778,103.6972167,2,28,EW
1,Joo Koon,1.327738889,103.6784861,2,29,EW
1,Gul Circle,1.3212,103.6657,2,30,EW
1,Tuas Crescent,1.321138889,103.649,2,31,EW
1,Tuas West Road,1.330055556,103.6396111,2,32,EW
1,Tuas Link,1.340277778,103.6368056,2,33,EW
1,Tanah Merah,1.327358333,103.9463444,3,1,EW
1,Expo,1.335469444,103.9617667,3,2,EW
1,Changi Airport,1.357372222,103.9888361,3,3,EW
1,HarbourFront,1.265277778,103.8222222,4,1,NE
1,Outram Park,1.280277778,103.8394444,4,2,NE
1,Chinatown,1.284722222,103.8438889,4,3,NE
1,Clarke Quay,1.288611111,103.8466667,4,4,NE
1,Dhoby Ghaut,1.299166667,103.8458333,4,5,NE
1,Little India,1.306666667,103.8491667,4,6,NE
1,Farrer Park,1.312222222,103.8541667,4,7,NE
1,Boon Keng,1.319444444,103.8616667,4,8,NE
1,Potong Pasir,1.331111111,103.8691667,4,9,NE
1,Woodleigh,1.339166667,103.8708333,4,10,NE
1,Serangoon,1.35,103.8730556,4,11,NE
1,Kovan,1.360277778,103.885,4,12,NE
1,Hougang,1.371388889,103.8922222,4,13,NE
1,Buangkok,1.382777778,103.8927778,4,14,NE
1,Sengkang,1.391666667,103.895,4,15,NE
1,Punggol,1.405277778,103.9022222,4,16,NE
1,Dhoby Ghaut,1.299166667,103.8458333,5,1,CC
1,Bras Basah,1.296944444,103.8505556,5,2,CC
1,Esplanade,1.293333333,103.8552778,5,3,CC
1,Promenade,1.293055556,103.8611111,5,4,CC
1,Nicoll Highway,1.299722222,103.8636111,5,5,CC
1,Stadium,1.302777778,103.8753611,5,6,CC
1,Mountbatten,1.306388889,103.8825,5,7,CC
1,Dakota,1.308333333,103.8883333,5,8,CC
1,Paya Lebar,1.317777778,103.8925,5,9,CC
1,MacPherson,1.326666667,103.89,5,10,CC
1,Tai Seng,1.335833333,103.8880556,5,11,CC
1,Bartley,1.342777778,103.8797222,5,12,CC
1,Serangoon,1.35,103.8730556,5,13,CC
1,Lorong Chuan,1.351666667,103.8641667,5,14,CC
1,Bishan,1.351111111,103.8483333,5,15,CC
1,Marymount,1.349166667,103.8394444,5,16,CC
1,Caldecott,1.337777778,103.8394444,5,17,CC
1,Bukit Brown,1.333611111,103.83,5,18,CC
1,Botanic Gardens,1.3225,103.8152778,5,19,CC
1,Farrer Road,1.317222222,103.8075,5,20,CC
1,Holland Village,1.311944444,103.7961111,5,21,CC
1,Buona Vista,1.307333333,103.7900278,5,22,CC
1,one-north,1.299444444,103.7869444,5,23,CC
1,Kent Ridge,1.293333333,103.7844444,5,24,CC
1,Haw Par Villa,1.2825,103.7819444,5,25,CC
1,Pasir Panjang,1.276111111,103.7913889,5,26,CC
1,Labrador Park,1.272222222,103.8027778,5,27,CC
1,Telok Blangah,1.270555556,103.8097222,5,28,CC
1,HarbourFront,1.265277778,103.8222222,5,29,CC
,Promenade,1.293055556,103.8611111,6,1,CC
1,Bayfront,1.282222222,103.8594444,6,2,CC
2,Marina Bay,1.276097222,103.854675,6,3,CC
1,Bukit Panjang,1.378333333,103.7616667,7,1,DT
2,Cashew,1.368888889,103.7647222,7,2,DT
3,Hillview,1.3625,103.7675,7,3,DT
4,Beauty World,1.341111111,103.7758333,7,4,DT
5,King Albert Park,1.335555556,103.7838889,7,5,DT
6,Sixth Avenue,1.330833333,103.7975,7,6,DT
7,Tan Kah Kee,1.326111111,103.8072222,7,7,DT
8,Botanic Gardens,1.3225,103.8152778,7,8,DT
9,Stevens,1.32,103.8261111,7,9,DT
10,Newton,1.313055556,103.8383333,7,10,DT
11,Little India,1.306666667,103.8491667,7,11,DT
12,Rochor,1.303763889,103.8525806,7,12,DT
13,Bugis,1.300277778,103.8561111,7,13,DT
14,Promenade,1.293055556,103.8611111,7,14,DT
15,Bayfront,1.282222222,103.8594444,7,15,DT
16,Downtown,1.279444444,103.8530556,7,16,DT
17,Telok Ayer,1.282222222,103.8483333,7,17,DT
18,Chinatown,1.284722222,103.8438889,7,18,DT
19,Fort Canning,1.2919,103.8452,7,19,DT
20,Bencoolen,1.298888889,103.8502778,7,20,DT
21,Jalan Besar,1.306055556,103.8555556,7,21,DT
22,Bendemeer,1.314,103.8629722,7,22,DT
23,Geylang Bahru,1.321805556,103.87175,7,23,DT
24,Mattar,1.3275,103.8828889,7,24,DT
25,MacPherson,1.326666667,103.89,7,25,DT
26,Ubi,1.330972222,103.9001667,7,26,DT
27,Kaki Bukit,1.33525,103.9090278,7,27,DT
28,Bedok North,1.335444444,103.9184722,7,28,DT
29,Bedok Reservoir,1.337944444,103.9324444,7,29,DT
30,Tampines West,1.345361111,103.9383611,7,30,DT
31,Tampines,1.352527778,103.9453222,7,31,DT
32,Tampines East,1.35675,103.9533333,7,32,DT
33,Upper Changi,1.342027778,103.9616111,7,33,DT
34,Expo,1.335469444,103.9617667,7,34,DT
