"X","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Furnish","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Min.Distance","HDB.Town","lat","long","accuracy"
1,"Marina One Residences","Apartment","$2,750,000","$2,480 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",2,"Not Furnished","31","1,109 sqft (Built-up)","LEASEHOLD/99 years",1042,"Swimming Pool View | Park/greenery View | Sea View | City View | Corner Unit | Renovated | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Adrian Chong",140,NA,1.280042,103.855291,"establishment"
2,"V on Shenton","Apartment","$3,888,000","$2,215 psf (Built-up)",2017,"Apartment","UIC Investments (Properties) Pte Ltd","5 Shenton Way (068808)","D1 - Boat Quay / Raffles Place / Marina","3",NA,NA,"40","1,755 sqft (Built-up)","LEASEHOLD/99 years",510,"Spice Botanics | Spa Pool | Club Lounge | Indoor Gymnasium | Refreshment Bar | Cinnamon Scent | Playscape | Outback Grill | Outdoor Fitness | Garden Lounge | Day Bed Island | Epicurean Dining | Surf Lounge | Bubbly Bay | Sun Deck | Splash Zone | Junior Pool | Aqua Gym | Cloves Hedge | City View | Air Conditioning | Cooker Hob/hood | Bathtub | Balcony","Mike Toh",100,NA,1.2775413,103.8493895,"street_address"
3,"Duo Residences","Apartment","$4,128,300","$2,142 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4",NA,NA,"36","1,927 sqft (Built-up)","LEASEHOLD/99 years",660,"Sky Pool | Aqua Gym Equipment | Children's Pool | Jacuzzi | 50M Lap Pool With Spa Seats | Reflective Pool | Teppanyaki Terraces | Patio Gym | Gymnasium | Function Room | Sun Deck | Outdoor Living Room | Kid's Play Area | Sea View | City View | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Raycher Lim",160,NA,1.2997066,103.8582392,"street_address"
4,"Marina One Residences","Apartment","$2,793,950","$2,497 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",NA,NA,"28","1,119 sqft (Built-up)","LEASEHOLD/99 years",1042,"Renovated | Park/greenery View | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",140,NA,1.280042,103.855291,"establishment"
5,"Queens Peak","Condominium","$1,556,000","$2,008 psf (Built-up)",2020,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2",2,"Partially Furnished","22","775 sqft (Built-up)","LEASEHOLD/99 years",736,"Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",90,NA,1.2950313,103.8070953,"street_address"
6,"Gem Residences","Condominium","$1,642,000","$1,734 psf (Built-up)",2020,"Condominium","GEM Homes Pte Ltd","1 Lorong 5 Toa Payoh (319458)","D12 - Balestier / Toa Payoh","3",1,"Partially Furnished","09","947 sqft (Built-up)","LEASEHOLD/99 years",578,"City View | Original Condition | Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",530,NA,1.3336887,103.8531666,"street_address"
7,"Duo Residences","Apartment","$4,215,100","$2,759 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","3",3,"Partially Furnished","40","1,528 sqft (Built-up)","LEASEHOLD/99 years",660,"Reflective Pool | Function Room | Sun Deck | Gymnasium | 50M Lap Pool With Spa Seats | Patio Gym | Sky Pool | Teppanyaki Terraces | Kid's Play Area | Children's Pool | Outdoor Living Room | Jacuzzi | Aqua Gym Equipment | Original Condition | Park/greenery View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",160,NA,1.2997066,103.8582392,"street_address"
8,"Kingsford Waterbay","Apartment","$1,100,000","$1,294 psf (Built-up)",NA,"Apartment","Kingsford Property Development Pte Ltd","78 Upper Serangoon View (533879)","D19 - Hougang / Punggol / Sengkang","3",NA,NA,"08","850 sqft (Built-up)","LEASEHOLD/99 years",1165,"Swimming Pool View | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Maidsroom | Balcony","Syafiq Focus",970,NA,1.3738557,103.9022723,"street_address"
9,"Gem Residences","Condominium","$1,640,000","$1,732 psf (Built-up)",NA,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3",2,NA,"26","947 sqft (Built-up)","LEASEHOLD/99 years",578,"Park/greenery View | Renovated | City View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony","Kane Seow K H",570,NA,1.3336887,103.8531666,"street_address"
10,"Queens Peak","Condominium","$1,229,000","$1,586 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","3 Dundee Road (149457)","D3 - Alexandra / Commonwealth","2",2,NA,"24","775 sqft (Built-up)","LEASEHOLD/99 years",736,"Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Kane Seow K H",120,NA,1.2950313,103.8070953,"street_address"
