Movie,Distributor,Budget,US Gross,Worldwide Gross,Release Date
Pirates of the Caribbean: At World's End ,Buena Vista,"$300,000,000 ","$309,420,425 ","$960,996,492 ",25/5/2007
Spider-Man 3 ,Sony,"$258,000,000 ","$336,530,303 ","$890,871,626 ",4/5/2007
Harry Potter and the Half-Blood Prince ,Warner Bros.,"$250,000,000 ","$301,959,197 ","$937,499,905 ",15/7/2009
Avatar ,20th Century Fox,"$237,000,000 ","$601,141,551 ","$2,046,141,551 ",18/12/2009
Superman Returns ,Warner Bros.,"$232,000,000 ","$200,120,000 ","$391,120,000 ",28/6/2006
Quantum of Solace ,Sony Pictures,"$230,000,000 ","$169,368,427 ","$576,368,427 ",14/11/2008
Pirates of the Caribbean: Dead Man's Chest ,Buena Vista,"$225,000,000 ","$423,315,812 ","$1,065,659,812 ",7/7/2006
The Chronicles of Narnia: Prince Caspian ,Buena Vista,"$225,000,000 ","$141,621,490 ","$419,490,286 ",16/5/2008
Transformers: Revenge of the Fallen ,Paramount Pictures,"$210,000,000 ","$402,111,870 ","$835,274,255 ",24/6/2009
King Kong ,Universal,"$207,000,000 ","$218,080,025 ","$550,517,357 ",14/12/2005
His Dark Materials: The Golden Compass ,New Line,"$205,000,000 ","$70,107,728 ","$372,234,864 ",7/12/2007
Titanic ,20th Century Fox,"$200,000,000 ","$600,788,188 ","$1,842,879,955 ",19/12/1997
Spider-Man 2 ,Columbia,"$200,000,000 ","$373,524,485 ","$783,705,001 ",30/6/2004
Terminator Salvation: The Future Begins ,Warner Bros.,"$200,000,000 ","$125,322,469 ","$371,628,539 ",21/5/2009
Disney's A Christmas Carol ,Buena Vista,"$190,000,000 ","$137,850,096 ","$323,550,096 ",6/11/2009
Iron Man ,,"$186,000,000 ","$318,313,199 ","$582,313,199 ",2/5/2008
Indiana Jones and the Kingdom of the Crystal Skull ,Paramount Pictures,"$185,000,000 ","$317,023,851 ","$786,558,145 ",22/5/2008
The Dark Knight ,Warner Bros.,"$185,000,000 ","$533,345,358 ","$1,022,345,358 ",18/7/2008
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Buena Vista,"$180,000,000 ","$291,710,957 ","$748,806,957 ",9/12/2005
Rush Hour 3 ,New Line,"$180,000,000 ","$140,125,968 ","$253,025,968 ",10/8/2007
WALL-E ,Buena Vista,"$180,000,000 ","$223,808,164 ","$532,937,930 ",27/6/2008
Waterworld ,Universal,"$175,000,000 ","$88,246,220 ","$264,246,220 ",28/7/1995
Wild Wild West ,Warner Bros.,"$175,000,000 ","$113,805,681 ","$222,105,681 ",30/6/1999
Evan Almighty ,Universal,"$175,000,000 ","$100,289,690 ","$173,219,280 ",22/6/2007
The Mummy: Tomb of the Dragon Emperor ,Universal,"$175,000,000 ","$102,491,776 ","$397,912,118 ",1/8/2008
Up ,Buena Vista,"$175,000,000 ","$293,004,164 ","$727,104,164 ",29/5/2009
G.I. Joe: The Rise of Cobra ,Paramount Pictures,"$175,000,000 ","$150,201,498 ","$302,139,942 ",7/8/2009
Terminator 3: Rise of the Machines ,Warner Bros.,"$170,000,000 ","$150,358,296 ","$433,058,296 ",1/7/2003
Van Helsing ,Universal,"$170,000,000 ","$120,150,546 ","$300,150,546 ",7/5/2004
The Polar Express ,Warner Bros.,"$170,000,000 ","$181,320,597 ","$305,420,597 ",10/11/2004
Poseidon ,,"$160,000,000 ","$60,674,817 ","$181,674,817 ",12/5/2006
Shrek the Third ,DreamWorks SKG,"$160,000,000 ","$322,719,944 ","$798,958,162 ",18/5/2007
The Curious Case of Benjamin Button ,Paramount Pictures,"$160,000,000 ","$127,509,326 ","$329,809,326 ",25/12/2008
Alexander ,Warner Bros.,"$155,000,000 ","$34,297,191 ","$167,297,191 ",24/11/2004
Pearl Harbor ,Buena Vista,"$151,500,000 ","$198,539,855 ","$449,239,855 ",25/5/2001
Transformers ,DreamWorks SKG,"$151,000,000 ","$319,246,193 ","$708,272,592 ",3/7/2007
Troy ,Warner Bros.,"$150,000,000 ","$133,298,577 ","$497,398,577 ",14/5/2004
Batman Begins ,Warner Bros.,"$150,000,000 ","$205,343,774 ","$372,353,017 ",15/6/2005
Charlie and the Chocolate Factory ,Warner Bros.,"$150,000,000 ","$206,459,076 ","$474,459,076 ",15/7/2005
Harry Potter and the Goblet of Fire ,Warner Bros.,"$150,000,000 ","$290,013,036 ","$896,013,036 ",18/11/2005
Mission: Impossible III ,Paramount Pictures,"$150,000,000 ","$133,501,348 ","$397,501,348 ",5/5/2006
X-Men: The Last Stand ,20th Century Fox,"$150,000,000 ","$234,362,462 ","$459,359,555 ",26/5/2006
Ratatouille ,Buena Vista,"$150,000,000 ","$206,445,654 ","$624,445,654 ",29/6/2007
Harry Potter and the Order of the Phoenix ,Warner Bros.,"$150,000,000 ","$292,004,738 ","$938,468,864 ",11/7/2007
Bee Movie ,DreamWorks SKG,"$150,000,000 ","$126,631,277 ","$287,594,577 ",2/11/2007
Beowulf ,Sony,"$150,000,000 ","$82,195,215 ","$194,995,215 ",16/11/2007
I am Legend ,Warner Bros.,"$150,000,000 ","$256,393,010 ","$585,055,701 ",14/12/2007
Hancock ,Sony,"$150,000,000 ","$227,946,274 ","$624,346,274 ",2/7/2008
Madagascar: Escape 2 Africa ,DreamWorks SKG,"$150,000,000 ","$180,010,950 ","$599,516,844 ",7/11/2008
Bolt ,Buena Vista,"$150,000,000 ","$114,053,579 ","$313,953,579 ",21/11/2008
X-Men Origins: Wolverine ,20th Century Fox,"$150,000,000 ","$179,883,016 ","$374,825,619 ",1/5/2009
Angels & Demons ,Sony,"$150,000,000 ","$133,375,846 ","$485,975,846 ",15/5/2009
Night at the Museum: Battle of the Smithsonian ,20th Century Fox,"$150,000,000 ","$177,243,721 ","$413,044,215 ",22/5/2009
Prince of Persia: Sands of Time ,Buena Vista,"$150,000,000 ",Unknown,Unknown,28/5/2010
Flushed Away ,DreamWorks SKG,"$149,000,000 ","$64,665,672 ","$177,665,672 ",3/11/2006
Tarzan ,Buena Vista,"$145,000,000 ","$171,091,819 ","$448,191,819 ",16/6/1999
Sahara ,Paramount Pictures,"$145,000,000 ","$68,671,925 ","$121,671,925 ",8/4/2005
Die Another Day ,MGM/UA,"$142,000,000 ","$160,942,139 ","$431,942,139 ",22/11/2002
Armageddon ,Buena Vista,"$140,000,000 ","$201,578,182 ","$554,600,000 ",1/7/1998
Lethal Weapon 4 ,Warner Bros.,"$140,000,000 ","$130,444,603 ","$285,400,000 ",10/7/1998
Men in Black 2 ,Sony,"$140,000,000 ","$190,418,803 ","$441,818,803 ",3/7/2002
Fun With Dick And Jane ,Sony,"$140,000,000 ","$110,550,000 ","$202,250,000 ",21/12/2005
Star Trek ,Paramount Pictures,"$140,000,000 ","$257,730,019 ","$385,494,555 ",8/5/2009
Spider-Man ,Sony,"$139,000,000 ","$403,706,375 ","$821,708,551 ",3/5/2002
Stealth ,Sony,"$138,000,000 ","$32,116,746 ","$76,416,746 ",29/7/2005
Watchmen ,Universal,"$138,000,000 ","$107,509,799 ","$183,978,146 ",6/3/2009
The Incredible Hulk ,Universal,"$137,500,000 ","$134,806,913 ","$263,349,257 ",13/6/2008
Final Fantasy: The Spirits Within ,Sony,"$137,000,000 ","$32,131,830 ","$85,131,830 ",11/7/2001
Hulk ,Universal,"$137,000,000 ","$132,177,234 ","$245,360,480 ",20/6/2003
The World is Not Enough ,MGM/UA,"$135,000,000 ","$126,930,660 ","$361,730,660 ",19/11/1999
Master and Commander: The Far Side of the World ,20th Century Fox,"$135,000,000 ","$93,926,386 ","$209,486,484 ",14/11/2003
Miami Vice ,Universal,"$135,000,000 ","$63,478,838 ","$163,818,556 ",28/7/2006
The War of the Worlds ,DreamWorks SKG,"$132,000,000 ","$234,280,354 ","$591,745,532 ",29/6/2005
Bad Boys II ,Sony,"$130,000,000 ","$138,540,870 ","$272,940,870 ",18/7/2003
Harry Potter and the Prisoner of Azkaban ,Warner Bros.,"$130,000,000 ","$249,538,952 ","$795,538,952 ",4/6/2004
The Bourne Ultimatum ,Universal,"$130,000,000 ","$227,471,070 ","$442,161,562 ",3/8/2007
The Adventures of Tintin: Secret of the Unicorn ,Paramount Pictures,"$130,000,000 ",Unknown,Unknown,23/12/2011
Dinosaur ,Buena Vista,"$127,500,000 ","$137,748,063 ","$356,148,063 ",19/5/2000
The Matrix Reloaded ,Warner Bros.,"$127,000,000 ","$281,553,689 ","$738,576,929 ",15/5/2003
